ï»¿Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QC,Crops,5000,World,5510,Production,667,Tea,1993,2621411,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1994,2648447,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1995,2634612,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1996,2706678,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1997,2778030,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1998,3012204,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,1999,3099185,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2000,3014442,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2001,3135778,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2002,3222857,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2003,3286521,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2004,3476576,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2005,3682118.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2006,3727467,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2007,4005454,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2008,4232491,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2009,4286824,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2010,4606068.82,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2011,4771205.07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2012,5034967.59,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,667,Tea,2013,5345523.43,A,"Aggregate, may include official, semi-official, estimated or calculated data"
